geo,time,hpi
Latvia,2024-Q2,196.94
Latvia,2024-Q3,203.62
Latvia,2024-Q4,201.9
Latvia,2025-Q1,203.64
Latvia,2025-Q2,209.67
Latvia,2025-Q3,220.67
Malta,2015-Q1,95.3
Malta,2015-Q2,96.07
Malta,2015-Q3,102.72
Malta,2015-Q4,105.92
Malta,2016-Q1,100.29
Malta,2016-Q2,102.78
Malta,2016-Q3,107.62
Malta,2016-Q4,111.12
Malta,2017-Q1,105.61
Malta,2017-Q2,108.88
Malta,2017-Q3,113.02
Malta,2017-Q4,116.59
Malta,2018-Q1,111.25
Malta,2018-Q2,115.49
Malta,2018-Q3,119.27
Malta,2018-Q4,123.77
Malta,2019-Q1,118.53
Malta,2019-Q2,122.76
Malta,2019-Q3,126.44
Malta,2019-Q4,130.86
Malta,2020-Q1,125.06
Malta,2020-Q2,127.57
Malta,2020-Q3,129.81
Malta,2020-Q4,133.01
Malta,2021-Q1,130.82
Malta,2021-Q2,134.42
Malta,2021-Q3,137.52
Malta,2021-Q4,138.99
Malta,2022-Q1,139.69
Malta,2022-Q2,144.63
Malta,2022-Q3,146.23
Malta,2022-Q4,147.24
Malta,2023-Q1,149.89
Malta,2023-Q2,152.24
Malta,2023-Q3,154.51
Malta,2023-Q4,157.05
Malta,2024-Q1,159.98
Malta,2024-Q2,162.74
Malta,2024-Q3,165.26
Malta,2024-Q4,166.96
Malta,2025-Q1,169.36
Malta,2025-Q2,171.84
Malta,2025-Q3,174.63
Netherlands,2015-Q1,98.29
Netherlands,2015-Q2,99.2
Netherlands,2015-Q3,101.02
Netherlands,2015-Q4,101.5
Netherlands,2016-Q1,102.52
Netherlands,2016-Q2,104.03
Netherlands,2016-Q3,106.58
Netherlands,2016-Q4,108.03
Netherlands,2017-Q1,110.2
Netherlands,2017-Q2,112.06
Netherlands,2017-Q3,115.22
Netherlands,2017-Q4,117.74
Netherlands,2018-Q1,120.32
Netherlands,2018-Q2,122.64
Netherlands,2018-Q3,126.45
Netherlands,2018-Q4,128.2
Netherlands,2019-Q1,130.34
Netherlands,2019-Q2,132.15
Netherlands,2019-Q3,134.49
Netherlands,2019-Q4,136.54
Netherlands,2020-Q1,139.3
Netherlands,2020-Q2,142.6
Netherlands,2020-Q3,146.0
Netherlands,2020-Q4,148.37
Netherlands,2021-Q1,153.72
Netherlands,2021-Q2,160.55
Netherlands,2021-Q3,169.59
Netherlands,2021-Q4,175.9
Netherlands,2022-Q1,182.94
Netherlands,2022-Q2,188.58
Netherlands,2022-Q3,189.95
Netherlands,2022-Q4,185.89
Netherlands,2023-Q1,183.14
Netherlands,2023-Q2,180.92
Netherlands,2023-Q3,182.91
Netherlands,2023-Q4,186.07
Netherlands,2024-Q1,189.87
Netherlands,2024-Q2,194.81
Netherlands,2024-Q3,201.98
Netherlands,2024-Q4,206.31
Netherlands,2025-Q1,210.27
Netherlands,2025-Q2,213.35
Netherlands,2025-Q3,217.61
Poland,2015-Q1,99.06
Poland,2015-Q2,100.43
Poland,2015-Q3,100.63
Poland,2015-Q4,99.88
Poland,2016-Q1,100.0
Poland,2016-Q2,100.84
Poland,2016-Q3,102.73
Poland,2016-Q4,103.86
Poland,2017-Q1,103.33
Poland,2017-Q2,105.44
Poland,2017-Q3,106.5
Poland,2017-Q4,107.86
Poland,2018-Q1,109.48
Poland,2018-Q2,111.95
Poland,2018-Q3,113.43
Poland,2018-Q4,116.11
